SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,285 Paris St,San Francisco,CA,94112,499000,2,1.0,Excelsior,1000,3097,1900,1,Garage,,Sold,,,,,499000,2014-10-06,613800.0,http://www.redfin.com/CA/San-Francisco/285-Paris-St-94112/home/773510,San Francisco Association of Realtors (SFARMLS),425164,Berkshire Hathaway-Franciscan,N,Y,37.724063,-122.43279,false
Past Sale,Single Family Residential,71 Cotter St,San Francisco,CA,94112,875000,2,1.5,Mission Terrace,1378,2495,1915,2,Garage,,Sold,,,,,875000,2014-10-29,1150000.0,http://www.redfin.com/CA/San-Francisco/71-Cotter-St-94112/home/986367,San Francisco Association of Realtors (SFARMLS),425816,Paragon Real Estate Group,N,Y,37.727715,-122.434538,false
Past Sale,Single Family Residential,571 Silver Ave,San Francisco,CA,94112,599000,3,2.0,Excelsior,,,1926,2,Garage,,Sold,,,,,599000,2014-05-28,638000.0,http://www.redfin.com/CA/San-Francisco/571-Silver-Ave-94112/home/1842474,San Francisco Association of Realtors (SFARMLS),418554,K K & C Realty,N,Y,37.72896,-122.424383,false
Past Sale,Single Family Residential,385 Athens St,San Francisco,CA,94112,798800,4,2.0,Excelsior,1800,2495,1909,2,Garage,,Sold,,,,,798800,2014-09-25,709000.0,http://www.redfin.com/CA/San-Francisco/385-Athens-St-94112/home/775583,San Francisco Association of Realtors (SFARMLS),423543,Century 21 Realty Alliance Fine Homes and Estates,N,Y,37.721801,-122.427964,false
Past Sale,Single Family Residential,253 Theresa St,San Francisco,CA,94112,599000,2,1.0,Mission Terrace,950,,1912,2,Garage,,Sold,,,,,599000,2012-10-25,735000.0,http://www.redfin.com/CA/San-Francisco/253-Theresa-St-94112/home/1504497,San Francisco Association of Realtors (SFARMLS),400224,Zephyr Real Estate,N,Y,37.730025,-122.436388,false
Past Sale,Single Family Residential,235 Moscow St,San Francisco,CA,94112,538888,2,1.0,Excelsior,1025,,1949,1,Garage,,Sold,,,,,538888,2013-09-05,570000.0,http://www.redfin.com/CA/San-Francisco/235-Moscow-St-94112/home/1986181,San Francisco Association of Realtors (SFARMLS),410835,Realty World Bay Area Real Estate,N,Y,37.723681,-122.425453,false
Past Sale,Single Family Residential,66 Danton St,San Francisco,CA,94112,649000,2,1.5,Mission Terrace,,,1928,1,Garage,,Sold,,,,,649000,2012-11-20,770000.0,http://www.redfin.com/CA/San-Francisco/66-Danton-St-94112/home/1940550,San Francisco Association of Realtors (SFARMLS),401853,Coldwell Banker,N,Y,37.731274,-122.432711,false
Past Sale,Single Family Residential,162 Lisbon St,San Francisco,CA,94112,615800,2,2.0,Excelsior,1278,,1955,1,Garage,,Sold,,,,,615800,2013-08-29,625899.0,http://www.redfin.com/CA/San-Francisco/162-Lisbon-St-94112/home/1222523,San Francisco Association of Realtors (SFARMLS),410798,"I Star Properties, Inc.",N,Y,37.725798,-122.431072,false
Past Sale,Single Family Residential,566 Lisbon St,San Francisco,CA,94112,719000,3,2.0,Excelsior,1810,2500,1926,1,,,Sold,,,,,719000,2014-10-15,960000.0,http://www.redfin.com/CA/San-Francisco/566-Lisbon-St-94112/home/1141566,San Francisco Association of Realtors (SFARMLS),425243,Zephyr Real Estate,N,Y,37.719521,-122.435821,false
Past Sale,Single Family Residential,245 Santa Rosa,San Francisco,CA,94112,595000,2,1.0,Mission Terrace,1050,,1915,2,Garage,,Sold,,,,,595000,2013-06-11,705000.0,http://www.redfin.com/CA/San-Francisco/245-Santa-Rosa-Ave-94112/home/964749,San Francisco Association of Realtors (SFARMLS),408749,Pacific Union International,N,Y,37.728115,-122.439125,true
